Country,Date,"Cumulative no. of confirmed, probable and suspected cases","Cumulative no. of confirmed, probable and suspected deaths"
United Kingdom,4/27/15,1,0
Spain,4/27/15,1,0
Senegal,4/27/15,1,0
United States of America,4/27/15,4,1
Mali,4/27/15,8,6
Nigeria,4/27/15,20,8
Guinea,4/27/15,3585,2374
Sierra Leone,4/27/15,12362,3895
Liberia,4/27/15,10212,4573
Senegal,4/28/15,1,0
United Kingdom,4/28/15,1,0
Spain,4/28/15,1,0
United States of America,4/28/15,4,1
Mali,4/28/15,8,6
Nigeria,4/28/15,20,8
Guinea,4/28/15,3584,2377
Sierra Leone,4/28/15,12371,3899
Liberia,4/28/15,10322,4608
Senegal,4/30/15,1,0
Spain,4/30/15,1,0
United Kingdom,4/30/15,1,0
United States of America,4/30/15,4,1
Mali,4/30/15,8,6
Nigeria,4/30/15,20,8
Guinea,4/30/15,3581,2381
Sierra Leone,4/30/15,12387,3901
Liberia,4/30/15,10322,4608
Senegal,5/1/15,1,0
United Kingdom,5/1/15,1,0
Spain,5/1/15,1,0
United States of America,5/1/15,4,1
Mali,5/1/15,8,6
Nigeria,5/1/15,20,8
Guinea,5/1/15,3578,2383
Sierra Leone,5/1/15,12398,3901
Liberia,5/1/15,10322,4608
United Kingdom,5/4/15,1,0
Spain,5/4/15,1,0
Senegal,5/4/15,1,0
United States of America,5/4/15,4,1
Mali,5/4/15,8,6
Nigeria,5/4/15,20,8
Guinea,5/4/15,3591,2385
Sierra Leone,5/4/15,12426,3902
Liberia,5/4/15,10322,4608
Spain,5/5/15,1,0
United Kingdom,5/5/15,1,0
Senegal,5/5/15,1,0
United States of America,5/5/15,4,1
Mali,5/5/15,8,6
Nigeria,5/5/15,20,8
Guinea,5/5/15,3589,2386
Sierra Leone,5/5/15,12440,3903
Liberia,5/5/15,10507,4691
United Kingdom,5/6/15,1,0
Senegal,5/6/15,1,0
Spain,5/6/15,1,0
United States of America,5/6/15,4,1
Mali,5/6/15,8,6
Nigeria,5/6/15,20,8
Guinea,5/6/15,3589,2386
Sierra Leone,5/6/15,12440,3903
Liberia,5/6/15,10564,4716
Spain,5/7/15,1,0
United Kingdom,5/7/15,1,0
Senegal,5/7/15,1,0
United States of America,5/7/15,4,1
Mali,5/7/15,8,6
Nigeria,5/7/15,20,8
Guinea,5/7/15,3592,2387
Sierra Leone,5/7/15,12470,3904
Liberia,5/7/15,10564,4716
Senegal,5/8/15,1,0
Spain,5/8/15,1,0
United Kingdom,5/8/15,1,0
United States of America,5/8/15,4,1
Mali,5/8/15,8,6
Nigeria,5/8/15,20,8
Guinea,5/8/15,3592,2387
Sierra Leone,5/8/15,12492,3904
Liberia,5/8/15,10564,4716
United Kingdom,5/11/15,1,0
Senegal,5/11/15,1,0
Spain,5/11/15,1,0
United States of America,5/11/15,4,1
Mali,5/11/15,8,6
Nigeria,5/11/15,20,8
Guinea,5/11/15,3599,2391
Sierra Leone,5/11/15,12519,3904
Liberia,5/11/15,10604,4769
Senegal,5/12/15,1,0
United Kingdom,5/12/15,1,0
Spain,5/12/15,1,0
United States of America,5/12/15,4,1
Mali,5/12/15,8,6
Nigeria,5/12/15,20,8
Guinea,5/12/15,3597,2392
Sierra Leone,5/12/15,12523,3904
Liberia,5/12/15,10604,4769
United Kingdom,5/13/15,1,0
Senegal,5/13/15,1,0
Spain,5/13/15,1,0
United States of America,5/13/15,4,1
Mali,5/13/15,8,6
Nigeria,5/13/15,20,8
Guinea,5/13/15,3599,2391
Sierra Leone,5/13/15,12519,3904
Liberia,5/13/15,10604,4769
Spain,5/14/15,1,0
Senegal,5/14/15,1,0
United Kingdom,5/14/15,1,0
Italy,5/14/15,1,0
United States of America,5/14/15,4,1
Mali,5/14/15,8,6
Nigeria,5/14/15,20,8
Guinea,5/14/15,3615,2399
Sierra Leone,5/14/15,12536,3904
Liberia,5/14/15,10604,4769
United Kingdom,5/15/15,1,0
Italy,5/15/15,1,0
Spain,5/15/15,1,0
Senegal,5/15/15,1,0
United States of America,5/15/15,4,1
Mali,5/15/15,8,6
Nigeria,5/15/15,20,8
Guinea,5/15/15,3619,2401
Sierra Leone,5/15/15,12540,3904
Liberia,5/15/15,10604,4769
Spain,5/18/15,1,0
United Kingdom,5/18/15,1,0
Senegal,5/18/15,1,0
Italy,5/18/15,1,0
United States of America,5/18/15,4,1
Mali,5/18/15,8,6
Nigeria,5/18/15,20,8
Guinea,5/18/15,3626,2405
Sierra Leone,5/18/15,12593,3906
Liberia,5/18/15,10666,4806
Italy,5/19/15,1,0
Spain,5/19/15,1,0
United Kingdom,5/19/15,1,0
Senegal,5/19/15,1,0
United States of America,5/19/15,4,1
Mali,5/19/15,8,6
Nigeria,5/19/15,20,8
Guinea,5/19/15,3635,2407
Sierra Leone,5/19/15,12632,3907
Liberia,5/19/15,10666,4806
Spain,5/20/15,1,0
United Kingdom,5/20/15,1,0
Senegal,5/20/15,1,0
Italy,5/20/15,1,0
United States of America,5/20/15,4,1
Mali,5/20/15,8,6
Nigeria,5/20/15,20,8
Guinea,5/20/15,3635,2407
Sierra Leone,5/20/15,12632,3907
Liberia,5/20/15,10666,4806
Italy,5/21/15,1,0
Spain,5/21/15,1,0
Senegal,5/21/15,1,0
United Kingdom,5/21/15,1,0
United States of America,5/21/15,4,1
Mali,5/21/15,8,6
Nigeria,5/21/15,20,8
Guinea,5/21/15,3649,2409
Sierra Leone,5/21/15,12656,3907
Liberia,5/21/15,10666,4806
Spain,5/22/15,1,0
Italy,5/22/15,1,0
United Kingdom,5/22/15,1,0
Senegal,5/22/15,1,0
United States of America,5/22/15,4,1
Mali,5/22/15,8,6
Nigeria,5/22/15,20,8
Guinea,5/22/15,3647,2412
Sierra Leone,5/22/15,12666,3907
Liberia,5/22/15,10666,4806
Italy,5/25/15,1,0
United Kingdom,5/25/15,1,0
Spain,5/25/15,1,0
Senegal,5/25/15,1,0
United States of America,5/25/15,4,1
Mali,5/25/15,8,6
Nigeria,5/25/15,20,8
Guinea,5/25/15,3640,2418
Sierra Leone,5/25/15,12696,3908
Liberia,5/25/15,10666,4806
Senegal,5/26/15,1,0
Italy,5/26/15,1,0
Spain,5/26/15,1,0
United Kingdom,5/26/15,1,0
United States of America,5/26/15,4,1
Mali,5/26/15,8,6
Nigeria,5/26/15,20,8
Guinea,5/26/15,3641,2420
Sierra Leone,5/26/15,12706,3908
Liberia,5/26/15,10666,4806
Italy,5/27/15,1,0
Spain,5/27/15,1,0
United Kingdom,5/27/15,1,0
Senegal,5/27/15,1,0
United States of America,5/27/15,4,1
Mali,5/27/15,8,6
Nigeria,5/27/15,20,8
Guinea,5/27/15,3641,2420
Sierra Leone,5/27/15,12706,3908
Liberia,5/27/15,10666,4806
Italy,5/28/15,1,0
Spain,5/28/15,1,0
Senegal,5/28/15,1,0
United Kingdom,5/28/15,1,0
United States of America,5/28/15,4,1
Mali,5/28/15,8,6
Nigeria,5/28/15,20,8
Guinea,5/28/15,3639,2423
Sierra Leone,5/28/15,12735,3911
Liberia,5/28/15,10666,4806
United Kingdom,5/29/15,1,0
Italy,5/29/15,1,0
Spain,5/29/15,1,0
Senegal,5/29/15,1,0
United States of America,5/29/15,4,1
Mali,5/29/15,8,6
Nigeria,5/29/15,20,8
Guinea,5/29/15,3644,2425
Sierra Leone,5/29/15,12745,3911
Liberia,5/29/15,10666,4806
United Kingdom,6/1/15,1,0
Spain,6/1/15,1,0
Senegal,6/1/15,1,0
Italy,6/1/15,1,0
United States of America,6/1/15,4,1
Mali,6/1/15,8,6
Nigeria,6/1/15,20,8
Guinea,6/1/15,3653,2428
Sierra Leone,6/1/15,12816,3911
Liberia,6/1/15,10666,4806
Senegal,6/2/15,1,0
Spain,6/2/15,1,0
Italy,6/2/15,1,0
United Kingdom,6/2/15,1,0
United States of America,6/2/15,4,1
Mali,6/2/15,8,6
Nigeria,6/2/15,20,8
Guinea,6/2/15,3652,2429
Sierra Leone,6/2/15,12827,3912
Liberia,6/2/15,10666,4806
United Kingdom,6/3/15,1,0
Senegal,6/3/15,1,0
Italy,6/3/15,1,0
Spain,6/3/15,1,0
United States of America,6/3/15,4,1
Mali,6/3/15,8,6
Nigeria,6/3/15,20,8
Guinea,6/3/15,3652,2429
Sierra Leone,6/3/15,12827,3912
Liberia,6/3/15,10666,4806
Spain,6/4/15,1,0
Senegal,6/4/15,1,0
United Kingdom,6/4/15,1,0
Italy,6/4/15,1,0
United States of America,6/4/15,4,1
Mali,6/4/15,8,6
Nigeria,6/4/15,20,8
Guinea,6/4/15,3657,2431
Sierra Leone,6/4/15,12850,3912
Liberia,6/4/15,10666,4806
United Kingdom,6/5/15,1,0
Italy,6/5/15,1,0
Spain,6/5/15,1,0
Senegal,6/5/15,1,0
United States of America,6/5/15,4,1
Mali,6/5/15,8,6
Nigeria,6/5/15,20,8
Guinea,6/5/15,3664,2431
Sierra Leone,6/5/15,12859,3912
Liberia,6/5/15,10666,4806
Senegal,6/8/15,1,0
Spain,6/8/15,1,0
Italy,6/8/15,1,0
United Kingdom,6/8/15,1,0
United States of America,6/8/15,4,1
Mali,6/8/15,8,6
Nigeria,6/8/15,20,8
Guinea,6/8/15,3669,2435
Sierra Leone,6/8/15,12884,3913
Liberia,6/8/15,10666,4806
Spain,6/9/15,1,0
United Kingdom,6/9/15,1,0
Senegal,6/9/15,1,0
Italy,6/9/15,1,0
United States of America,6/9/15,4,1
Mali,6/9/15,8,6
Nigeria,6/9/15,20,8
Guinea,6/9/15,3670,2437
Sierra Leone,6/9/15,12901,3915
Liberia,6/9/15,10666,4806
United Kingdom,6/10/15,1,0
Senegal,6/10/15,1,0
Italy,6/10/15,1,0
Spain,6/10/15,1,0
United States of America,6/10/15,4,1
Mali,6/10/15,8,6
Nigeria,6/10/15,20,8
Guinea,6/10/15,3670,2437
Sierra Leone,6/10/15,12901,3915
Liberia,6/10/15,10666,4806
Italy,6/11/15,1,0
Spain,6/11/15,1,0
Senegal,6/11/15,1,0
United Kingdom,6/11/15,1,0
United States of America,6/11/15,4,1
Mali,6/11/15,8,6
Nigeria,6/11/15,20,8
Guinea,6/11/15,3674,2440
Sierra Leone,6/11/15,12911,3917
Liberia,6/11/15,10666,4806
Spain,6/12/15,1,0
United Kingdom,6/12/15,1,0
Italy,6/12/15,1,0
Senegal,6/12/15,1,0
United States of America,6/12/15,4,1
Mali,6/12/15,8,6
Nigeria,6/12/15,20,8
Guinea,6/12/15,3677,2440
Sierra Leone,6/12/15,12932,3917
Liberia,6/12/15,10666,4806
Spain,6/15/15,1,0
Italy,6/15/15,1,0
United Kingdom,6/15/15,1,0
Senegal,6/15/15,1,0
United States of America,6/15/15,4,1
Mali,6/15/15,8,6
Nigeria,6/15/15,20,8
Guinea,6/15/15,3677,2443
Sierra Leone,6/15/15,12962,3919
Liberia,6/15/15,10666,4806
United Kingdom,6/16/15,1,0
Senegal,6/16/15,1,0
Italy,6/16/15,1,0
Spain,6/16/15,1,0
United States of America,6/16/15,4,1
Mali,6/16/15,8,6
Nigeria,6/16/15,20,8
Guinea,6/16/15,3678,2444
Sierra Leone,6/16/15,12965,3919
Liberia,6/16/15,10666,4806
United Kingdom,6/17/15,1,0
Italy,6/17/15,1,0
Senegal,6/17/15,1,0
Spain,6/17/15,1,0
United States of America,6/17/15,4,1
Mali,6/17/15,8,6
Nigeria,6/17/15,20,8
Guinea,6/17/15,3674,2444
Sierra Leone,6/17/15,12965,3919
Liberia,6/17/15,10666,4806
Italy,6/18/15,1,0
Senegal,6/18/15,1,0
United Kingdom,6/18/15,1,0
Spain,6/18/15,1,0
United States of America,6/18/15,4,1
Mali,6/18/15,8,6
Nigeria,6/18/15,20,8
Guinea,6/18/15,3675,2445
Sierra Leone,6/18/15,12990,3922
Liberia,6/18/15,10666,4806
Spain,6/19/15,1,0
Senegal,6/19/15,1,0
United Kingdom,6/19/15,1,0
Italy,6/19/15,1,0
United States of America,6/19/15,4,1
Mali,6/19/15,8,6
Nigeria,6/19/15,20,8
Guinea,6/19/15,3674,2446
Sierra Leone,6/19/15,13012,3926
Liberia,6/19/15,10666,4806
Spain,6/22/15,1,0
United Kingdom,6/22/15,1,0
Italy,6/22/15,1,0
Senegal,6/22/15,1,0
United States of America,6/22/15,4,1
Mali,6/22/15,8,6
Nigeria,6/22/15,20,8
Guinea,6/22/15,3698,2456
Sierra Leone,6/22/15,13051,3928
Liberia,6/22/15,10666,4806
Italy,6/23/15,1,0
United Kingdom,6/23/15,1,0
Senegal,6/23/15,1,0
Spain,6/23/15,1,0
United States of America,6/23/15,4,1
Mali,6/23/15,8,6
Nigeria,6/23/15,20,8
Guinea,6/23/15,3718,2473
Sierra Leone,6/23/15,13059,3928
Liberia,6/23/15,10666,4806
Senegal,6/24/15,1,0
United Kingdom,6/24/15,1,0
Italy,6/24/15,1,0
Spain,6/24/15,1,0
United States of America,6/24/15,4,1
Mali,6/24/15,8,6
Nigeria,6/24/15,20,8
Guinea,6/24/15,3718,2473
Sierra Leone,6/24/15,13059,3928
Liberia,6/24/15,10666,4806
Senegal,6/25/15,1,0
Spain,6/25/15,1,0
United Kingdom,6/25/15,1,0
Italy,6/25/15,1,0
United States of America,6/25/15,4,1
Mali,6/25/15,8,6
Nigeria,6/25/15,20,8
Guinea,6/25/15,3718,2480
Sierra Leone,6/25/15,13083,3931
Liberia,6/25/15,10666,4806
Spain,6/26/15,1,0
Senegal,6/26/15,1,0
Italy,6/26/15,1,0
United Kingdom,6/26/15,1,0
United States of America,6/26/15,4,1
Mali,6/26/15,8,6
Nigeria,6/26/15,20,8
Guinea,6/26/15,3720,2480
Sierra Leone,6/26/15,13093,3931
Liberia,6/26/15,10666,4806
Senegal,6/29/15,1,0
United Kingdom,6/29/15,1,0
Spain,6/29/15,1,0
Italy,6/29/15,1,0
United States of America,6/29/15,4,1
Mali,6/29/15,8,6
Nigeria,6/29/15,20,8
Guinea,6/29/15,3724,2482
Sierra Leone,6/29/15,13115,3932
Liberia,6/29/15,10666,4806
United Kingdom,6/30/15,1,0
Italy,6/30/15,1,0
Senegal,6/30/15,1,0
Spain,6/30/15,1,0
United States of America,6/30/15,4,1
Mali,6/30/15,8,6
Nigeria,6/30/15,20,8
Guinea,6/30/15,3729,2482
Sierra Leone,6/30/15,13119,3932
Liberia,6/30/15,10666,4806
Senegal,7/1/15,1,0
Spain,7/1/15,1,0
United Kingdom,7/1/15,1,0
Italy,7/1/15,1,0
United States of America,7/1/15,4,1
Mali,7/1/15,8,6
Nigeria,7/1/15,20,8
Guinea,7/1/15,3729,2482
Sierra Leone,7/1/15,13119,3932
Liberia,7/1/15,10666,4806
Senegal,7/2/15,1,0
Italy,7/2/15,1,0
Spain,7/2/15,1,0
United Kingdom,7/2/15,1,0
United States of America,7/2/15,4,1
Mali,7/2/15,8,6
Nigeria,7/2/15,20,8
Guinea,7/2/15,3745,2490
Sierra Leone,7/2/15,13129,3933
Liberia,7/2/15,10666,4806
United Kingdom,7/3/15,1,0
Senegal,7/3/15,1,0
Italy,7/3/15,1,0
Spain,7/3/15,1,0
United States of America,7/3/15,4,1
Mali,7/3/15,8,6
Nigeria,7/3/15,20,8
Guinea,7/3/15,3750,2492
Sierra Leone,7/3/15,13135,3935
Liberia,7/3/15,10666,4806
United Kingdom,7/6/15,1,0
Spain,7/6/15,1,0
Senegal,7/6/15,1,0
Italy,7/6/15,1,0
United States of America,7/6/15,4,1
Mali,7/6/15,8,6
Nigeria,7/6/15,20,8
Guinea,7/6/15,3744,2498
Sierra Leone,7/6/15,13150,3940
Liberia,7/6/15,10666,4806
Italy,7/7/15,1,0
Spain,7/7/15,1,0
Senegal,7/7/15,1,0
United Kingdom,7/7/15,1,0
United States of America,7/7/15,4,1
Mali,7/7/15,8,6
Nigeria,7/7/15,20,8
Guinea,7/7/15,3748,2499
Sierra Leone,7/7/15,13155,3940
Liberia,7/7/15,10666,4806
Spain,7/8/15,1,0
United Kingdom,7/8/15,1,0
Italy,7/8/15,1,0
Senegal,7/8/15,1,0
United States of America,7/8/15,4,1
Mali,7/8/15,8,6
Nigeria,7/8/15,20,8
Guinea,7/8/15,3748,2499
Sierra Leone,7/8/15,13155,3940
Liberia,7/8/15,10666,4806
Senegal,7/9/15,1,0
United Kingdom,7/9/15,1,0
Italy,7/9/15,1,0
Spain,7/9/15,1,0
United States of America,7/9/15,4,1
Mali,7/9/15,8,6
Nigeria,7/9/15,20,8
Guinea,7/9/15,3744,2505
Sierra Leone,7/9/15,13169,3941
Liberia,7/9/15,10666,4806
Senegal,7/10/15,1,0
Italy,7/10/15,1,0
Spain,7/10/15,1,0
United Kingdom,7/10/15,1,0
United States of America,7/10/15,4,1
Mali,7/10/15,8,6
Nigeria,7/10/15,20,8
Guinea,7/10/15,3751,2505
Sierra Leone,7/10/15,13177,3941
Liberia,7/10/15,10666,4806
Spain,7/13/15,1,0
Senegal,7/13/15,1,0
United Kingdom,7/13/15,1,0
Italy,7/13/15,1,0
United States of America,7/13/15,4,1
Mali,7/13/15,8,6
Nigeria,7/13/15,20,8
Guinea,7/13/15,3754,2506
Sierra Leone,7/13/15,13201,3946
Liberia,7/13/15,10666,4806
Senegal,7/14/15,1,0
United Kingdom,7/14/15,1,0
Spain,7/14/15,1,0
Italy,7/14/15,1,0
United States of America,7/14/15,4,1
Mali,7/14/15,8,6
Nigeria,7/14/15,20,8
Guinea,7/14/15,3760,2506
Sierra Leone,7/14/15,13209,3947
Liberia,7/14/15,10666,4806
Spain,7/15/15,1,0
Italy,7/15/15,1,0
United Kingdom,7/15/15,1,0
Senegal,7/15/15,1,0
United States of America,7/15/15,4,1
Mali,7/15/15,8,6
Nigeria,7/15/15,20,8
Guinea,7/15/15,3760,2506
Sierra Leone,7/15/15,13209,3947
Liberia,7/15/15,10666,4806
Italy,7/16/15,1,0
Spain,7/16/15,1,0
United Kingdom,7/16/15,1,0
Senegal,7/16/15,1,0
United States of America,7/16/15,4,1
Mali,7/16/15,8,6
Nigeria,7/16/15,20,8
Guinea,7/16/15,3762,2506
Sierra Leone,7/16/15,13209,3947
Liberia,7/16/15,10666,4806
United Kingdom,7/17/15,1,0
Italy,7/17/15,1,0
Spain,7/17/15,1,0
Senegal,7/17/15,1,0
United States of America,7/17/15,4,1
Mali,7/17/15,8,6
Nigeria,7/17/15,20,8
Guinea,7/17/15,3770,2509
Sierra Leone,7/17/15,13209,3947
Liberia,7/17/15,10666,4806
Senegal,7/20/15,1,0
United Kingdom,7/20/15,1,0
Italy,7/20/15,1,0
Spain,7/20/15,1,0
United States of America,7/20/15,4,1
Mali,7/20/15,8,6
Nigeria,7/20/15,20,8
Guinea,7/20/15,3784,2511
Sierra Leone,7/20/15,13241,3949
Liberia,7/20/15,10666,4806
United Kingdom,7/21/15,1,0
Spain,7/21/15,1,0
Senegal,7/21/15,1,0
Italy,7/21/15,1,0
United States of America,7/21/15,4,1
Mali,7/21/15,8,6
Nigeria,7/21/15,20,8
Guinea,7/21/15,3783,2512
Sierra Leone,7/21/15,13250,3949
Liberia,7/21/15,10666,4806
Spain,7/22/15,1,0
Italy,7/22/15,1,0
Senegal,7/22/15,1,0
United Kingdom,7/22/15,1,0
United States of America,7/22/15,4,1
Mali,7/22/15,8,6
Nigeria,7/22/15,20,8
Guinea,7/22/15,3783,2512
Sierra Leone,7/22/15,13250,3949
Liberia,7/22/15,10666,4806
Spain,7/23/15,1,0
United Kingdom,7/23/15,1,0
Senegal,7/23/15,1,0
Italy,7/23/15,1,0
United States of America,7/23/15,4,1
Mali,7/23/15,8,6
Nigeria,7/23/15,20,8
Guinea,7/23/15,3788,2516
Sierra Leone,7/23/15,13262,3949
Liberia,7/23/15,10666,4806
Italy,7/24/15,1,0
Senegal,7/24/15,1,0
Spain,7/24/15,1,0
United Kingdom,7/24/15,1,0
United States of America,7/24/15,4,1
Mali,7/24/15,8,6
Nigeria,7/24/15,20,8
Guinea,7/24/15,3787,2517
Sierra Leone,7/24/15,13264,3949
Liberia,7/24/15,10666,4806
Spain,7/27/15,1,0
Senegal,7/27/15,1,0
United Kingdom,7/27/15,1,0
Italy,7/27/15,1,0
United States of America,7/27/15,4,1
Mali,7/27/15,8,6
Nigeria,7/27/15,20,8
Guinea,7/27/15,3792,2519
Sierra Leone,7/27/15,13283,3951
Liberia,7/27/15,10666,4806
Spain,7/28/15,1,0
United Kingdom,7/28/15,1,0
Senegal,7/28/15,1,0
Italy,7/28/15,1,0
United States of America,7/28/15,4,1
Mali,7/28/15,8,6
Nigeria,7/28/15,20,8
Guinea,7/28/15,3786,2520
Sierra Leone,7/28/15,13290,3951
Liberia,7/28/15,10666,4806
Senegal,7/29/15,1,0
Spain,7/29/15,1,0
United Kingdom,7/29/15,1,0
Italy,7/29/15,1,0
United States of America,7/29/15,4,1
Mali,7/29/15,8,6
Nigeria,7/29/15,20,8
Guinea,7/29/15,3786,2520
Sierra Leone,7/29/15,13290,3951
Liberia,7/29/15,10666,4806
Senegal,7/30/15,1,0
Spain,7/30/15,1,0
Italy,7/30/15,1,0
United Kingdom,7/30/15,1,0
United States of America,7/30/15,4,1
Mali,7/30/15,8,6
Nigeria,7/30/15,20,8
Guinea,7/30/15,3785,2521
Sierra Leone,7/30/15,13379,3951
Liberia,7/30/15,10666,4806
Senegal,7/31/15,1,0
United Kingdom,7/31/15,1,0
Spain,7/31/15,1,0
Italy,7/31/15,1,0
United States of America,7/31/15,4,1
Mali,7/31/15,8,6
Nigeria,7/31/15,20,8
Guinea,7/31/15,3781,2521
Sierra Leone,7/31/15,13387,3951
Liberia,7/31/15,10666,4806
United Kingdom,8/3/15,1,0
Italy,8/3/15,1,0
Spain,8/3/15,1,0
Senegal,8/3/15,1,0
United States of America,8/3/15,4,1
Mali,8/3/15,8,6
Nigeria,8/3/15,20,8
Guinea,8/3/15,3786,2522
Sierra Leone,8/3/15,13402,3951
Liberia,8/3/15,10666,4806
Spain,8/4/15,1,0
United Kingdom,8/4/15,1,0
Italy,8/4/15,1,0
Senegal,8/4/15,1,0
United States of America,8/4/15,4,1
Mali,8/4/15,8,6
Nigeria,8/4/15,20,8
Guinea,8/4/15,3784,2522
Sierra Leone,8/4/15,13406,3951
Liberia,8/4/15,10666,4806
Spain,8/5/15,1,0
Italy,8/5/15,1,0
Senegal,8/5/15,1,0
United Kingdom,8/5/15,1,0
United States of America,8/5/15,4,1
Mali,8/5/15,8,6
Nigeria,8/5/15,20,8
Guinea,8/5/15,3784,2522
Sierra Leone,8/5/15,13406,3951
Liberia,8/5/15,10666,4806
Spain,8/6/15,1,0
Senegal,8/6/15,1,0
United Kingdom,8/6/15,1,0
Italy,8/6/15,1,0
United States of America,8/6/15,4,1
Mali,8/6/15,8,6
Nigeria,8/6/15,20,8
Guinea,8/6/15,3792,2524
Sierra Leone,8/6/15,13426,3951
Liberia,8/6/15,10666,4806
Spain,8/7/15,1,0
Senegal,8/7/15,1,0
United Kingdom,8/7/15,1,0
Italy,8/7/15,1,0
United States of America,8/7/15,4,1
Mali,8/7/15,8,6
Nigeria,8/7/15,20,8
Guinea,8/7/15,3795,2524
Sierra Leone,8/7/15,13428,3951
Liberia,8/7/15,10666,4806
United Kingdom,8/10/15,1,0
Senegal,8/10/15,1,0
Spain,8/10/15,1,0
Italy,8/10/15,1,0
United States of America,8/10/15,4,1
Mali,8/10/15,8,6
Nigeria,8/10/15,20,8
Guinea,8/10/15,3791,2524
Sierra Leone,8/10/15,13465,3951
Liberia,8/10/15,10666,4806
Spain,8/11/15,1,0
Italy,8/11/15,1,0
Senegal,8/11/15,1,0
United Kingdom,8/11/15,1,0
United States of America,8/11/15,4,1
Mali,8/11/15,8,6
Nigeria,8/11/15,20,8
Guinea,8/11/15,3787,2524
Sierra Leone,8/11/15,13470,3951
Liberia,8/11/15,10666,4806
Spain,8/12/15,1,0
United Kingdom,8/12/15,1,0
Italy,8/12/15,1,0
Senegal,8/12/15,1,0
United States of America,8/12/15,4,1
Mali,8/12/15,8,6
Nigeria,8/12/15,20,8
Guinea,8/12/15,3787,2524
Sierra Leone,8/12/15,13470,3951
Liberia,8/12/15,10666,4806
Senegal,8/13/15,1,0
Italy,8/13/15,1,0
Spain,8/13/15,1,0
United Kingdom,8/13/15,1,0
United States of America,8/13/15,4,1
Mali,8/13/15,8,6
Nigeria,8/13/15,20,8
Guinea,8/13/15,3792,2524
Sierra Leone,8/13/15,13484,3951
Liberia,8/13/15,10666,4806
Senegal,8/14/15,1,0
Spain,8/14/15,1,0
Italy,8/14/15,1,0
United Kingdom,8/14/15,1,0
United States of America,8/14/15,4,1
Mali,8/14/15,8,6
Nigeria,8/14/15,20,8
Guinea,8/14/15,3791,2524
Sierra Leone,8/14/15,13485,3952
Liberia,8/14/15,10666,4806
Senegal,8/17/15,1,0
Spain,8/17/15,1,0
Italy,8/17/15,1,0
United Kingdom,8/17/15,1,0
United States of America,8/17/15,4,1
Mali,8/17/15,8,6
Nigeria,8/17/15,20,8
Guinea,8/17/15,3790,2524
Sierra Leone,8/17/15,13489,3952
Liberia,8/17/15,10666,4806
United Kingdom,8/18/15,1,0
Spain,8/18/15,1,0
Italy,8/18/15,1,0
Senegal,8/18/15,1,0
United States of America,8/18/15,4,1
Mali,8/18/15,8,6
Nigeria,8/18/15,20,8
Guinea,8/18/15,3786,2524
Sierra Leone,8/18/15,13494,3952
Liberia,8/18/15,10666,4806
Italy,8/19/15,1,0
Senegal,8/19/15,1,0
Spain,8/19/15,1,0
United Kingdom,8/19/15,1,0
United States of America,8/19/15,4,1
Mali,8/19/15,8,6
Nigeria,8/19/15,20,8
Guinea,8/19/15,3786,2524
Sierra Leone,8/19/15,13494,3952
Liberia,8/19/15,10666,4806
Senegal,8/20/15,1,0
Spain,8/20/15,1,0
United Kingdom,8/20/15,1,0
Italy,8/20/15,1,0
United States of America,8/20/15,4,1
Mali,8/20/15,8,6
Nigeria,8/20/15,20,8
Guinea,8/20/15,3792,2526
Sierra Leone,8/20/15,13518,3952
Liberia,8/20/15,10666,4806
Senegal,8/21/15,1,0
Italy,8/21/15,1,0
Spain,8/21/15,1,0
United Kingdom,8/21/15,1,0
United States of America,8/21/15,4,1
Mali,8/21/15,8,6
Nigeria,8/21/15,20,8
Guinea,8/21/15,3795,2526
Sierra Leone,8/21/15,13533,3952
Liberia,8/21/15,10666,4806
Senegal,8/24/15,1,0
United Kingdom,8/24/15,1,0
Spain,8/24/15,1,0
Italy,8/24/15,1,0
United States of America,8/24/15,4,1
Mali,8/24/15,8,6
Nigeria,8/24/15,20,8
Guinea,8/24/15,3790,2527
Sierra Leone,8/24/15,13538,3952
Liberia,8/24/15,10666,4806
Italy,8/25/15,1,0
Senegal,8/25/15,1,0
Spain,8/25/15,1,0
United Kingdom,8/25/15,1,0
United States of America,8/25/15,4,1
Mali,8/25/15,8,6
Nigeria,8/25/15,20,8
Guinea,8/25/15,3792,2527
Sierra Leone,8/25/15,13541,3952
Liberia,8/25/15,10666,4806
Italy,8/26/15,1,0
Spain,8/26/15,1,0
United Kingdom,8/26/15,1,0
Senegal,8/26/15,1,0
United States of America,8/26/15,4,1
Mali,8/26/15,8,6
Nigeria,8/26/15,20,8
Guinea,8/26/15,3792,2527
Sierra Leone,8/26/15,13541,3952
Liberia,8/26/15,10666,4806
Italy,8/27/15,1,0
Spain,8/27/15,1,0
United Kingdom,8/27/15,1,0
Senegal,8/27/15,1,0
United States of America,8/27/15,4,1
Mali,8/27/15,8,6
Nigeria,8/27/15,20,8
Guinea,8/27/15,3797,2528
Sierra Leone,8/27/15,13582,3952
Liberia,8/27/15,10666,4806
Spain,8/28/15,1,0
Senegal,8/28/15,1,0
Italy,8/28/15,1,0
United Kingdom,8/28/15,1,0
United States of America,8/28/15,4,1
Mali,8/28/15,8,6
Nigeria,8/28/15,20,8
Guinea,8/28/15,3797,2528
